"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Nestlé","NESN.SW","262645133481","102.108","Switzerland"
"2","McDonald","MCD","190728192000","268.44","United States"
"3","Unilever","UL","140545884160","65.27","United Kingdom"
"4","DoorDash","DASH","86067519488","197.53","United States"
"5","Mondelez International","MDLZ","80972627968","63.08","United States"
"6","Compass Group","CPG.L","54308003840","31.94","United Kingdom"
"7","Hindustan Unilever","HINDUNILVR.NS","51768615700","22.033","India"
"8","Danone","BN.PA","50526402875","78.6874","France"
"9","Chipotle Mexican Grill","CMG","48837120000","38.52","United States"
"10","JBS N.V.","JBS","47000461312","14.29","Brazil"
"11","Yum! Brands","YUM","43272531968","157","United States"
"12","Sysco","SYY","40554090496","84.71","United States"
"13","Archer Daniels Midland (ADM)","ADM","38850514944","80.61","United States"
"14","The Hershey Company","HSY","35949932544","177.23","United States"
"15","Ahold Delhaize","AD.AS","35164886523","39.8849","Netherlands"
"16","Restaurant Brands International","QSR","33924083712","74.34","Canada"
"17","Muyuan Foods","002714.SZ","33430444182","5.79083","China"
"18","Foshan Haitian Flavouring and Food","603288.SS","32993796477","5.63821","China"
"19","Kraft Heinz","KHC","31280814080","26.38","United States"
"20","Nestlé India","NESTLEIND.NS","30651067908","15.8953","India"
"21","Ajinomoto","2802.T","29897638367","31.3208","Japan"
"22","Eternal (Zomato)","ETERNAL.NS","29890828373","3.2471","India"
"23","George Weston","WN.TO","28111769397","74.5584","Canada"
"24","Chocoladefabriken Lindt &amp; Sprüngli","LISP.SW","26808766706","11620.1","Switzerland"
"25","DSM-Firmenich","DSFIR.AS","26463560538","107.196","Switzerland"
"26","Darden Restaurants","DRI","23705309184","206.97","United States"
"27","US Foods","USFD","22143289344","100.55","United States"
"28","Tyson Foods","TSN","21356648448","60.65","United States"
"29","Bunge Global SA","BG","20185956352","105.07","United States"
"30","Associated British Foods","ABF.L","19683832889","28.1317","United Kingdom"
"31","General Mills","GIS","19437658112","36.42","United States"
"32","Wilmar International","F34.SI","19059763377","3.05303","Singapore"
"33","Performance Food Group","PFGC","18026061824","114.75","United States"
"34","Yum China","YUMC","15923691520","46.47","China"
"35","Kerry Group","KRZ.IR","15559356455","97.3518","Ireland"
"36","Aramark","ARMK","15054091264","57.25","United States"
"37","Grupo Bimbo","BIMBOA.MX","15037267326","3.50006","Mexico"
"38","Kirin Holdings","2503.T","14755778017","18.4831","Japan"
"39","Hormel Foods","HRL","13960711168","25.37","United States"
"40","Grab Holdings","GRAB","13905999872","3.4","Singapore"
"41","WH Group","0288.HK","13856270349","1.07997","Hong Kong"
"42","McCormick & Company","MKC","13700674560","50.96","United States"
"43","Texas Roadhouse","TXRH","13686220800","208.22","United States"
"44","Delivery Hero","DHER.F","13244651896","43.6039","Germany"
"45","J.M. Smucker Company","SJM","13061889024","122.21","United States"
"46","Uni-President Enterprises","1216.TW","13053041234","2.29726","Taiwan"
"47","Almarai","2280.SR","12283589672","12.3578","Saudi Arabia"
"48","Guangdong HAID Group","002311.SZ","12009832997","7.26077","China"
"49","Saputo","SAP.TO","11818736401","29.5137","Canada"
"50","Domino's Pizza","DPZ","11653041152","352.25","United States"
"51","The Magnum Ice Cream Company","MICC","11484567552","18.74","Netherlands"
"52","Lotus Bakeries","LOTB.BR","10613221836","13057","Belgium"
"53","Smithfield Foods","SFD","10462560256","26.59","United States"
"54","Mowi","MNHVF","9795784704","18.53","Norway"
"55","Zensho Holdings","7550.T","9787414263","62.5545","Japan"
"56","Darling Ingredients","DAR","9694568448","61","United States"
"57","Sodexo","SW.PA","9656660218","66.2061","France"
"58","Kikkoman","2801.T","9414744252","10.1612","Japan"
"59","Mengniu Dairy","2319.HK","9291498095","2.40348","China"
"60","Bid Corp","BID.JO","9143434600","27.2138","South Africa"
"61","Brinker International","EAT","9000431616","209.86","United States"
"62","Tingyi (master kang)","0322.HK","8602680407","1.52624","China"
